Transaction ID,Name,Date,Amount,Payment Method,UPI ID,Phone,Email,Status
TXN00001,Jesse Pinkman,2025-01-09,2500.96,Card,NA,9999999999,user1@example.com,Failed
TXN00002,Lara Croft,2025-05-14,3972.58,Wallet,NA,9999999999,user2@example.com,Failed
TXN00003,Jim Halpert,2025-05-05,1541.8,Card,NA,9999999999,user3@example.com,Pending
TXN00004,Penny Hofstadter,2025-05-13,2608.45,UPI,pennyhofstadter@upi,9999999999,user4@example.com,Failed
TXN00005,Leonard Hofstadter,2025-04-13,3417.74,UPI,leonardhofstadter@upi,9999999999,user5@example.com,Success
TXN00006,Michael Scott,2025-04-10,1316.39,Wallet,NA,9999999999,user6@example.com,Failed
TXN00007,Jane Smith,2025-01-21,746.28,Card,NA,9999999999,user7@example.com,Pending
TXN00008,Jane Smith,2025-06-07,2023.32,Wallet,NA,9999999999,user8@example.com,Failed
TXN00009,Penny Hofstadter,2025-03-16,1999.34,UPI,pennyhofstadter@upi,9999999999,user9@example.com,Pending
TXN00010,Sheldon Cooper,2025-05-10,4291.59,Card,NA,9999999999,user10@example.com,Success
TXN00011,Pam Beesly,2025-03-20,831.92,Wallet,NA,9999999999,user11@example.com,Failed
TXN00012,Walter White,2025-05-16,1460.09,Card,NA,9999999999,user12@example.com,Success
TXN00013,Sheldon Cooper,2025-03-26,1493.64,Wallet,NA,9999999999,user13@example.com,Pending
TXN00014,Leonard Hofstadter,2025-05-19,1869.29,UPI,leonardhofstadter@upi,9999999999,user14@example.com,Success
TXN00015,Michael Scott,2025-03-01,4232.62,Card,NA,9999999999,user15@example.com,Success
TXN00016,Jim Halpert,2025-03-17,3296.4,UPI,jimhalpert@upi,9999999999,user16@example.com,Pending
TXN00017,Jesse Pinkman,2025-01-24,373.4,UPI,jessepinkman@upi,9999999999,user17@example.com,Failed
TXN00018,Lara Croft,2025-01-21,3051.78,UPI,laracroft@upi,9999999999,user18@example.com,Failed
TXN00019,Dwight Schrute,2025-06-22,4042.09,Wallet,NA,9999999999,user19@example.com,Failed
TXN00020,Jim Halpert,2025-04-30,373.08,UPI,jimhalpert@upi,9999999999,user20@example.com,Success
